STATION,NAME,DATE,PRCP,TMAX,TMIN
USW00023183,"PHOENIX AIRPORT, AZ US",7/17/2020,0,109,90
USW00023183,"PHOENIX AIRPORT, AZ US",7/18/2020,0,111,91
USW00023183,"PHOENIX AIRPORT, AZ US",7/19/2020,0,108,93
USW00023183,"PHOENIX AIRPORT, AZ US",7/20/2020,0,103,93
USW00023183,"PHOENIX AIRPORT, AZ US",7/21/2020,0,109,89
USW00023183,"PHOENIX AIRPORT, AZ US",7/22/2020,0,107,88
USW00023183,"PHOENIX AIRPORT, AZ US",7/23/2020,0,98,86
USW00023183,"PHOENIX AIRPORT, AZ US",7/24/2020,0.1,104,79
USW00023183,"PHOENIX AIRPORT, AZ US",7/25/2020,0,105,82
USW00023183,"PHOENIX AIRPORT, AZ US",7/26/2020,0,110,86
USW00023183,"PHOENIX AIRPORT, AZ US",7/27/2020,0,111,90
USW00023183,"PHOENIX AIRPORT, AZ US",7/28/2020,0,115,90
USW00023183,"PHOENIX AIRPORT, AZ US",7/29/2020,0,115,91
USW00023183,"PHOENIX AIRPORT, AZ US",7/30/2020,0,118,91
USW00023183,"PHOENIX AIRPORT, AZ US",7/31/2020,0,116,91
USW00023183,"PHOENIX AIRPORT, AZ US",8/1/2020,0,111,93
USW00023183,"PHOENIX AIRPORT, AZ US",8/2/2020,0,109,93
USW00023183,"PHOENIX AIRPORT, AZ US",8/3/2020,0,114,89
USW00023183,"PHOENIX AIRPORT, AZ US",8/4/2020,0,111,87
USW00023183,"PHOENIX AIRPORT, AZ US",8/5/2020,0,112,90
USW00023183,"PHOENIX AIRPORT, AZ US",8/6/2020,0,109,83
USW00023183,"PHOENIX AIRPORT, AZ US",8/7/2020,0,109,83
USW00023183,"PHOENIX AIRPORT, AZ US",8/8/2020,0,111,88
USW00023183,"PHOENIX AIRPORT, AZ US",8/9/2020,0,112,84
USW00023183,"PHOENIX AIRPORT, AZ US",8/10/2020,0,111,84
USW00023183,"PHOENIX AIRPORT, AZ US",8/11/2020,0,109,89
USW00023183,"PHOENIX AIRPORT, AZ US",8/12/2020,0,111,89
USW00023183,"PHOENIX AIRPORT, AZ US",8/13/2020,0,115,91
USW00023183,"PHOENIX AIRPORT, AZ US",8/14/2020,0,117,89
USW00023183,"PHOENIX AIRPORT, AZ US",8/15/2020,0,114,92
USW00023183,"PHOENIX AIRPORT, AZ US",8/16/2020,0,115,91
USW00023183,"PHOENIX AIRPORT, AZ US",8/17/2020,0,115,90
USW00023183,"PHOENIX AIRPORT, AZ US",8/18/2020,0,115,90
USW00023183,"PHOENIX AIRPORT, AZ US",8/19/2020,0,115,91
USW00023183,"PHOENIX AIRPORT, AZ US",8/20/2020,0.9,112,79
USW00023183,"PHOENIX AIRPORT, AZ US",8/21/2020,0,100,81
USW00023183,"PHOENIX AIRPORT, AZ US",8/22/2020,0,106,87
USW00023183,"PHOENIX AIRPORT, AZ US",8/23/2020,0,110,89
USW00023183,"PHOENIX AIRPORT, AZ US",8/24/2020,0,115,90
USW00023183,"PHOENIX AIRPORT, AZ US",8/25/2020,0,112,91
USW00023183,"PHOENIX AIRPORT, AZ US",8/26/2020,0,112,89
USW00023183,"PHOENIX AIRPORT, AZ US",8/27/2020,0,113,89
USW00023183,"PHOENIX AIRPORT, AZ US",8/28/2020,0,112,90
USW00023183,"PHOENIX AIRPORT, AZ US",8/29/2020,0,103,83
USW00023183,"PHOENIX AIRPORT, AZ US",8/30/2020,0,103,77
USW00023183,"PHOENIX AIRPORT, AZ US",8/31/2020,0,100,78
USW00023183,"PHOENIX AIRPORT, AZ US",9/1/2020,0,102,84
USW00023183,"PHOENIX AIRPORT, AZ US",9/2/2020,0,102,85
USW00023183,"PHOENIX AIRPORT, AZ US",9/3/2020,0,107,86
USW00023183,"PHOENIX AIRPORT, AZ US",9/4/2020,0,114,84
USW00023183,"PHOENIX AIRPORT, AZ US",9/5/2020,0,115,88
USW00023183,"PHOENIX AIRPORT, AZ US",9/6/2020,0,113,89
USW00023183,"PHOENIX AIRPORT, AZ US",9/7/2020,0,109,85
USW00023183,"PHOENIX AIRPORT, AZ US",9/8/2020,0,99,80
USW00023183,"PHOENIX AIRPORT, AZ US",9/9/2020,0,90,70
USW00023183,"PHOENIX AIRPORT, AZ US",9/10/2020,0,93,69
USW00023183,"PHOENIX AIRPORT, AZ US",9/11/2020,0,93,72
USW00023183,"PHOENIX AIRPORT, AZ US",9/12/2020,0,99,72
USW00023183,"PHOENIX AIRPORT, AZ US",9/13/2020,0,103,74
USW00023183,"PHOENIX AIRPORT, AZ US",9/14/2020,0,105,77
USW00023183,"PHOENIX AIRPORT, AZ US",9/15/2020,0,105,80
USW00023183,"PHOENIX AIRPORT, AZ US",9/16/2020,0,109,78
USW00023183,"PHOENIX AIRPORT, AZ US",9/17/2020,0,109,77
USW00023183,"PHOENIX AIRPORT, AZ US",9/18/2020,0,107,80
USW00023183,"PHOENIX AIRPORT, AZ US",9/19/2020,0,104,82
USW00023183,"PHOENIX AIRPORT, AZ US",9/20/2020,0,106,78
USW00023183,"PHOENIX AIRPORT, AZ US",9/21/2020,0,103,81
USW00023183,"PHOENIX AIRPORT, AZ US",9/22/2020,0,103,84
USW00023183,"PHOENIX AIRPORT, AZ US",9/23/2020,0,105,77
USW00023183,"PHOENIX AIRPORT, AZ US",9/24/2020,0,106,77
USW00023183,"PHOENIX AIRPORT, AZ US",9/25/2020,0,105,78
USW00023183,"PHOENIX AIRPORT, AZ US",9/26/2020,0,103,77
USW00023183,"PHOENIX AIRPORT, AZ US",9/27/2020,0,102,76
USW00023183,"PHOENIX AIRPORT, AZ US",9/28/2020,0,104,74
USW00023183,"PHOENIX AIRPORT, AZ US",9/29/2020,0,102,78
USW00023183,"PHOENIX AIRPORT, AZ US",9/30/2020,0,105,77
USW00023183,"PHOENIX AIRPORT, AZ US",10/1/2020,0,107,76
USW00023183,"PHOENIX AIRPORT, AZ US",10/2/2020,0,106,75
USW00023183,"PHOENIX AIRPORT, AZ US",10/3/2020,0,105,73
USW00023183,"PHOENIX AIRPORT, AZ US",10/4/2020,0,105,71
USW00023183,"PHOENIX AIRPORT, AZ US",10/5/2020,0,105,71
USW00023183,"PHOENIX AIRPORT, AZ US",10/6/2020,0,104,72
USW00023183,"PHOENIX AIRPORT, AZ US",10/7/2020,0,103,73
USW00023183,"PHOENIX AIRPORT, AZ US",10/8/2020,0,102,72
USW00023183,"PHOENIX AIRPORT, AZ US",10/9/2020,0,100,72
USW00023183,"PHOENIX AIRPORT, AZ US",10/10/2020,0,97,70
